event,scenario,main_character,emotion1,emotion2,emotion3,emotion4,answer,context_type
Skylar made amends with his friend after the argument.,"At a crowded party with all their mutual friends present, Skylar made amends with his friend after the argument.",Skylar,Serenity,Comfortableness,Relief,Embarrassment,Relief,place
Skylar made amends with his friend after the argument.,"In a quiet, empty park at sunset, Skylar made amends with his friend after the argument.",Skylar,Serenity,Comfortableness,Relief,Embarrassment,Relief,place
Sydney reduced national debt to a manageable level by stimulating the economy and reducing taxes.,Sydney reduced national debt to a manageable level by stimulating the economy and reducing taxes in a country with widespread economic hardship.,Sydney,Comfortableness,Determination,Indifference,Pride,Pride,place
Sydney reduced national debt to a manageable level by stimulating the economy and reducing taxes.,"Sydney reduced national debt to a manageable level by stimulating the economy and reducing taxes in a thriving, prosperous country.",Sydney,Comfortableness,Determination,Indifference,Pride,Pride,place
Bailey put the kids in their car to drive to the grocery store.,Bailey put the kids in their car to drive to the grocery store early in the morning during rush hour traffic.,Bailey,Anxiety,Relief,Comfortableness,Pensiveness,Anxiety,time
Bailey put the kids in their car to drive to the grocery store.,Bailey put the kids in their car to drive to the grocery store in the late afternoon on a quiet weekday.,Bailey,Anxiety,Relief,Comfortableness,Pensiveness,Comfortableness,time
Skylar accidentally got her friend in trouble an apologized repeatedly for the mistake.,Skylar accidentally got her friend in trouble and apologized repeatedly for the mistake. The friend was a close confidant.,Skylar,Remorse,Anxiety,Frustration,Embarrassment,Remorse,agent
Skylar accidentally got her friend in trouble an apologized repeatedly for the mistake.,Skylar accidentally got her friend in trouble and apologized repeatedly for the mistake. The friend was a distant acquaintance.,Skylar,Remorse,Anxiety,Frustration,Embarrassment,Remorse,agent
Taylor wanted to write in the scholarly format that her professor Jesse instructed her to do.,"Taylor wanted to write in the scholarly format that her professor Jesse instructed her to do, but she ran out of time to complete it before the deadline.",Taylor,Embarrassment,Frustration,Serenity,Amazement,Frustration,time
Taylor wanted to write in the scholarly format that her professor Jesse instructed her to do.,"Taylor wanted to write in the scholarly format that her professor Jesse instructed her to do, and she had plenty of time to perfect her work",Taylor,Embarrassment,Frustration,Serenity,Amazement,Serenity,time
Bailey was coming home from work and stopped at a store.,"Bailey was coming home from work and stopped at a store near the office, where everything was busy and chaotic.",Bailey,Exhaustion,Gratitude,Comfortableness,Frustration,Frustration,place
Bailey was coming home from work and stopped at a store.,"Bailey was coming home from work and stopped at a quiet, calm store on the way, with no rush or crowds.",Bailey,Exhaustion,Gratitude,Comfortableness,Frustration,Comfortableness,place
Aubrey became very angry and pulled Remy apart.,Aubrey became very angry and pulled Remy apart in a crowded bar where loud music was playing and tensions were high among the patrons.,Aubrey,Grief,Passion,Rage,Oppression,Rage,place
Aubrey became very angry and pulled Remy apart.,"Aubrey became very angry and pulled Remy apart in a quiet park during a peaceful afternoon, where children were playing nearby and families were enjoying picnics.",Aubrey,Grief,Passion,Rage,Oppression,Rage,place
Austin ran the brush through Bailey's hair to get ready for the dance party.,"Austin ran the brush through Bailey's hair to get ready for the dance party in a lively, crowded room filled with friends.",Austin,Anxiety,Amazement,Guilt,Joy,Joy,place
Austin ran the brush through Bailey's hair to get ready for the dance party.,"Austin ran the brush through Bailey's hair to get ready for the dance party in a quiet, dimly lit room where they were alone.",Austin,Anxiety,Amazement,Guilt,Joy,Joy,place
Sasha invited friends over to their house. They enjoyed Sunday brunch together often.,"Sasha invited friends over to their house. They enjoyed Sunday brunch together often. This time, it was the day before Sasha's big job interview.",Sasha,Interest,Submission,Ecstasy,Distraction,Distraction,time
Sasha invited friends over to their house. They enjoyed Sunday brunch together often.,Sasha invited friends over to their house. They enjoyed Sunday brunch together often. This particular Sunday was the first gathering after a month-long separation due to Sasha's work trip abroad.,Sasha,Interest,Submission,Ecstasy,Distraction,Ecstasy,time
"Casey was hungry, going down the path in the golf cart, course was changed to go to the clubhouse restaurant.","Casey was hungry, going down the path in the golf cart, course was changed to go to the clubhouse restaurant. It was 7 PM, and the restaurant was about to close for the day.",Casey,Admiration,Anxiety,Anticipation,Helplessness,Anxiety,time
"Casey was hungry, going down the path in the golf cart, course was changed to go to the clubhouse restaurant.","Casey was hungry, going down the path in the golf cart, course was changed to go to the clubhouse restaurant. It was noon, and a special lunch event with famous golfers was taking place.",Casey,Admiration,Anxiety,Anticipation,Helplessness,Anticipation,time
Austin listed every item they needed to purchase at the grocery store on a notepad.,"Austin, who is preparing a special dinner for a friend visiting after a long time, listed every item they needed to purchase at the grocery store on a notepad.",Austin,Distraction,Anxiety,Anticipation,Annoyance,Anticipation,agent
Austin listed every item they needed to purchase at the grocery store on a notepad.,"Austin, who just received a last-minute request from their roommate to buy groceries, listed every item they needed to purchase at the grocery store on a notepad.",Austin,Distraction,Anxiety,Anticipation,Annoyance,Annoyance,agent
Jordan had come up with many ideas and then he decided he would reproduce his idea in this book.,"Jordan had come up with many ideas and then he decided he would reproduce his idea in this book. The book was a collaborative project with his respected mentor, who encouraged Jordan to share his unique perspectives.",Jordan,Helplessness,Optimism,Anxiety,Guilt,Optimism,agent
Jordan had come up with many ideas and then he decided he would reproduce his idea in this book.,"Jordan had come up with many ideas and then he decided he would reproduce his idea in this book. The book was commissioned by his rival, who had a history of taking credit for others' work.",Jordan,Helplessness,Optimism,Anxiety,Guilt,Anxiety,agent
Sasha downloaded the app for the website they really liked.,Sasha downloaded the app for the website they really liked late at night while browsing through their favorite content.,Sasha,Boredom,Remorse,Distraction,Joy,Joy,time
Sasha downloaded the app for the website they really liked.,"Sasha downloaded the app for the website they really liked during a busy afternoon at work, trying to take a break from tasks.",Sasha,Boredom,Remorse,Distraction,Joy,Distraction,time
"When they got the job as a dance instructor, Casey bought appropriate shoes immediately.","When they got the job as a dance instructor, Casey bought appropriate shoes immediately. The purchase was made at an exclusive boutique known for its high-end dance equipment.",Casey,Aggressiveness,Disapproval,Acceptance,Ecstasy,Ecstasy,place
"When they got the job as a dance instructor, Casey bought appropriate shoes immediately.","When they got the job as a dance instructor, Casey bought appropriate shoes immediately. The purchase was made at a crowded discount store with limited options.",Casey,Aggressiveness,Disapproval,Acceptance,Ecstasy,Acceptance,place
Sasha settled with Bailey.  They became friends again.,Sasha settled with Bailey after a long period of silence following a major argument.,Sasha,Anticipation,Acceptance,Pensiveness,Surprise,Acceptance,time
Sasha settled with Bailey.  They became friends again.,Sasha settled with Bailey right before a big event where they needed to work together.,Sasha,Anticipation,Acceptance,Pensiveness,Surprise,Acceptance,time
"Sydney took awhile to decide what she wanted to do, and eventually Sydney became a nurse.","Sydney took awhile to decide what she wanted to do, and eventually Sydney became a nurse. Sydney's mother, a dedicated nurse herself, had always inspired Sydney with her stories and commitment to helping others.",Sydney,Gratitude,Comfortableness,Awe,Admiration,Admiration,agent
"Sydney took awhile to decide what she wanted to do, and eventually Sydney became a nurse.","Sydney took awhile to decide what she wanted to do, and eventually Sydney became a nurse. Sydney's best friend, who had pursued a similar path, supported and encouraged her throughout the decision-making process.",Sydney,Gratitude,Comfortableness,Awe,Admiration,Gratitude,agent
Sasha had much previous experience with the type of project her manager gave the team.,Sasha had much previous experience with the type of project her manager gave the team. Sasha's team members were excited to learn from her expertise and eager to collaborate.,Sasha,Pride,Confusion,Frustration,Impatience,Pride,agent
Sasha had much previous experience with the type of project her manager gave the team.,Sasha had much previous experience with the type of project her manager gave the team. Sasha's team members were skeptical of her skills and reluctant to follow her lead.,Sasha,Pride,Confusion,Frustration,Impatience,Frustration,agent
Quinn selected another assignment but she was not looking forward to doing any of them due to the challenging nature of them.,"Quinn selected another assignment but she was not looking forward to doing any of them due to the challenging nature of them. Her mentor, who always provided insightful guidance and support, offered to help her tackle the assignments.",Quinn,Disapproval,Optimism,Oppression,Sadness,Optimism,agent
Quinn selected another assignment but she was not looking forward to doing any of them due to the challenging nature of them.,"Quinn selected another assignment but she was not looking forward to doing any of them due to the challenging nature of them. Her supervisor, who was known for setting high expectations and strict deadlines, reminded her of the importance of completing the tasks.",Quinn,Disapproval,Optimism,Oppression,Sadness,Oppression,agent
Lee took a test and got a very good grade in their class.,"Lee took a test and got a very good grade in their class. Lee's supportive teacher, who had been helping them prepare for the test, praised their efforts and hard work.",Lee,Gratitude,Pride,Comfortableness,Confusion,Pride,agent
Lee took a test and got a very good grade in their class.,"Lee took a test and got a very good grade in their class. Lee's competitive classmate, who had always challenged them academically, looked surprised and impressed by Lee's performance.",Lee,Gratitude,Pride,Comfortableness,Confusion,Pride,agent
Skylar bought a new trumpet for her band and decided to practice with it.,Skylar bought a new trumpet for her band and decided to practice with it in a crowded park filled with people.,Skylar,Distraction,Intimidation,Serenity,Submission,Distraction,place
Skylar bought a new trumpet for her band and decided to practice with it.,Skylar bought a new trumpet for her band and decided to practice with it in her quiet room late at night.,Skylar,Distraction,Intimidation,Serenity,Submission,Serenity,place
Casey got another luxury car and drove it a lot.,"Casey got another luxury car and drove it a lot. The car was a gift from her supportive partner, who shared in her excitement and joy.",Casey,Amazement,Comfortableness,Gratitude,Remorse,Gratitude,agent
Casey got another luxury car and drove it a lot.,"Casey got another luxury car and drove it a lot. The car was a result of her indulgence, leading to financial strain and worries about future expenses.",Casey,Amazement,Comfortableness,Gratitude,Remorse,Remorse,agent
Taylor drove home from work one afternoon in his new car.,Taylor drove home from work one afternoon in his new car while stuck in heavy traffic on a busy highway.,Taylor,Joy,Oppression,Annoyance,Disapproval,Annoyance,place
Taylor drove home from work one afternoon in his new car.,Taylor drove home from work one afternoon in his new car along a scenic route with beautiful views of the countryside.,Taylor,Joy,Oppression,Annoyance,Disapproval,Joy,place
"Remy was a star student in her class, and knew everything on the test.","Remy was a star student in her class, and knew everything on the test. Her favorite teacher praised her effort in front of the entire class.",Remy,Frustration,Comfortableness,Suspicion,Pride,Pride,agent
"Remy was a star student in her class, and knew everything on the test.","Remy was a star student in her class, and knew everything on the test. Her classmates accused her of cheating due to her perfect score.",Remy,Frustration,Comfortableness,Suspicion,Pride,Frustration,agent
Cameron was waiting in line with Bailey's friend. Cameron turned and talked to Bailey's friend while they waited.,Cameron was waiting in line with Bailey's friend. Cameron turned and talked to Bailey's friend while they waited. Bailey's friend was someone Cameron had always admired from afar.,Cameron,Comfortableness,Concern,Anxiety,Admiration,Admiration,agent
Cameron was waiting in line with Bailey's friend. Cameron turned and talked to Bailey's friend while they waited.,Cameron was waiting in line with Bailey's friend. Cameron turned and talked to Bailey's friend while they waited. Bailey's friend was someone Cameron had known for years and felt comfortable around.,Cameron,Comfortableness,Concern,Anxiety,Admiration,Comfortableness,agent
Sydney went to the county fair for the first time and rode the Ferris wheel.,Sydney went to the county fair for the first time and rode the Ferris wheel. The fair was bustling with joyful families and friends enjoying various attractions.,Sydney,Amazement,Optimism,Anxiety,Intimidation,Amazement,place
Sydney went to the county fair for the first time and rode the Ferris wheel.,"Sydney went to the county fair for the first time and rode the Ferris wheel. The fair was nearly empty with dark clouds looming overhead, creating an eerie atmosphere.",Sydney,Amazement,Optimism,Anxiety,Intimidation,Anxiety,place
Robin took Cameron's examination for him since he was sick at home.,"Robin took Cameron's examination for him since he was sick at home. The teacher was understanding and knew about Cameron's illness, allowing Robin to help.",Robin,Intimidation,Anxiety,Relief,Sympathy,Relief,agent
Robin took Cameron's examination for him since he was sick at home.,"Robin took Cameron's examination for him since he was sick at home. The teacher was strict and unaware of Cameron's illness, creating tension and suspicion.",Robin,Intimidation,Anxiety,Relief,Sympathy,Anxiety,agent
Cameron gave Alex a peck on the hand and a suggestive wink to them.,"Cameron gave Alex a peck on the hand and a suggestive wink to them. Alex was Cameron's long-time crush, who Cameron had always been shy around.",Cameron,Boredom,Anxiety,Pensiveness,Joy,Anxiety,agent
Cameron gave Alex a peck on the hand and a suggestive wink to them.,"Cameron gave Alex a peck on the hand and a suggestive wink to them. Alex was Cameron's best friend, and they often shared playful and flirty moments as a joke.",Cameron,Boredom,Anxiety,Pensiveness,Joy,Joy,agent
Casey ran the cases of soda back to the yard when she arrived home for the party.,Casey ran the cases of soda back to the yard when she arrived home for the party. Her best friends were waiting for her.,Casey,Discouragement,Amazement,Anxiety,Joy,Joy,agent
Casey ran the cases of soda back to the yard when she arrived home for the party.,Casey ran the cases of soda back to the yard when she arrived home for the party. Her parents' critical friends were already there.,Casey,Discouragement,Amazement,Anxiety,Joy,Anxiety,agent
Casey gets dressed because they will go out to eat.,"Casey gets dressed because they will go out to eat. Casey's best friend, who always brings joy and laughter, is the one inviting Casey to dinner at their favorite restaurant.",Casey,Amazement,Anxiety,Sanguinity,Vigilance,Sanguinity,agent
Casey gets dressed because they will go out to eat.,"Casey gets dressed because they will go out to eat. Casey's boss, known for being demanding and critical, is the one inviting Casey to dinner for a work-related discussion.",Casey,Amazement,Anxiety,Sanguinity,Vigilance,Anxiety,agent
Addison was caught by the police after dropping their identification on the ground when running away.,Addison was caught by the police after dropping their identification on the ground when running away from a peaceful protest at a public park.,Addison,Terror,Vigilance,Disapproval,Contempt,Terror,place
Addison was caught by the police after dropping their identification on the ground when running away.,Addison was caught by the police after dropping their identification on the ground when running away from a high-security government facility.,Addison,Terror,Vigilance,Disapproval,Contempt,Terror,place
Addison carried Riley away when they passed out at the bar.,"Addison, Riley's long-time best friend, carried Riley away when they passed out at the bar.",Riley,Fear,Confusion,Vigilance,Gratitude,Gratitude,agent
Addison carried Riley away when they passed out at the bar.,"Addison, a stranger Riley had just met that night, carried Riley away when they passed out at the bar.",Riley,Fear,Confusion,Vigilance,Gratitude,Confusion,agent
Carson held it together and got a lot of praise for this act.,Carson held it together and got a lot of praise for this act during a high-stakes business presentation to potential investors.,Carson,Surprise,Pride,Relief,Admiration,Pride,place
Carson held it together and got a lot of praise for this act.,Carson held it together and got a lot of praise for this act while performing at an amateur night at a local comedy club.,Carson,Surprise,Pride,Relief,Admiration,Pride,place
"Carson loved Cameron a lot, but Cameron decided to break up with Carson over the argument.","Carson loved Cameron a lot, but Cameron decided to break up with Carson over the argument. This happened just one day before their planned anniversary celebration.",Carson,Grief,Contempt,Relief,Confusion,Grief,time
"Carson loved Cameron a lot, but Cameron decided to break up with Carson over the argument.","Carson loved Cameron a lot, but Cameron decided to break up with Carson over the argument. This occurred after five years of a tumultuous relationship filled with frequent conflicts.",Carson,Grief,Contempt,Relief,Confusion,Grief,time
Taylor hated the piece of art she made and tore it all apart.,"In her private studio, Taylor hated the piece of art she made and tore it all apart.",Taylor,Anxiety,Shame,Distraction,Rage,Rage,place
Taylor hated the piece of art she made and tore it all apart.,"During a live art demonstration at a gallery opening, Taylor hated the piece of art she made and tore it all apart.",Taylor,Anxiety,Shame,Distraction,Rage,Rage,place
Alex outlived their usefulness at his current job and decided to move on.,"After 30 years at the company, Alex outlived their usefulness at his current job and decided to move on.",Alex,Embarrassment,Relief,Sadness,Anticipation,Relief,time
Alex outlived their usefulness at his current job and decided to move on.,"Just 6 months into the position, Alex outlived their usefulness at his current job and decided to move on.",Alex,Embarrassment,Relief,Sadness,Anticipation,Relief,time
Robin bet their friend that they could drink the whole gallon of water that day.,"Robin bet their friend that they could drink the whole gallon of water that day, during their intense morning workout session when they were already dehydrated.",Robin,Annoyance,Remorse,Pride,Determination,Determination,time
Robin bet their friend that they could drink the whole gallon of water that day.,"Robin bet their friend that they could drink the whole gallon of water that day, right after a heavy meal in the late evening when they were already feeling full.",Robin,Annoyance,Remorse,Pride,Determination,Determination,time
if jesse went homeless robin would help jesse.,"Jesse was going through a tough time, and robin, a close friend was there for him, offering shelter and food.",Jesse,Acceptance,Gratitude,Embarrassment,Surprise,Gratitude,agent
if jesse went homeless robin would help jesse.,"Jesse had been struggling with homelessness, and robin, a work colleague who barely knew him, stepped in and offered to help.",Jesse,Acceptance,Gratitude,Embarrassment,Surprise,Gratitude,agent
Casey performed her duties with Jan and they did a very good job.,"Casey performed her duties with Jan and they did a very good job, under the guidance of a supportive and encouraging supervisor.",Casey,Relief,Joy,Displeasure,Pensiveness,Joy,agent
Casey performed her duties with Jan and they did a very good job.,"Casey performed her duties with Jan and they did a very good job, despite having an overly critical and demanding supervisor.",Casey,Relief,Joy,Displeasure,Pensiveness,Relief,agent
Austin road Jesse's bike but it was wobbly and he fell and busted his knee open.,Austin rode Jesse's bike but it was wobbly and he fell and busted his knee open in the middle of a busy city street with many people watching.,Austin,Relief,Indifference,Embarrassment,Confusion,Embarrassment,place
Austin road Jesse's bike but it was wobbly and he fell and busted his knee open.,Austin rode Jesse's bike but it was wobbly and he fell and busted his knee open on a quiet country road with no one around.,Austin,Relief,Indifference,Embarrassment,Confusion,Embarrassment,place
Sydney was responsible for cropping all photographs submitted by clients.,"Sydney was responsible for cropping all photographs submitted by clients. She had just received a glowing review from a high-profile client, which boosted her confidence in her work.",Sydney,Anxiety,Vigilance,Comfortableness,Pride,Pride,agent
Sydney was responsible for cropping all photographs submitted by clients.,"Sydney was responsible for cropping all photographs submitted by clients. She was new to the job and felt pressure from her supervisor, who was known for having very high standards.",Sydney,Anxiety,Vigilance,Comfortableness,Pride,Anxiety,agent
Jordan made their rounds in the mail room at work.,Jordan made their rounds in the mail room at work while chatting with friendly coworkers who always share interesting stories.,Jordan,Gratitude,Exhaustion,Helplessness,Anxiety,Gratitude,agent
Jordan made their rounds in the mail room at work.,Jordan made their rounds in the mail room at work while dealing with a demanding supervisor who constantly checked their performance.,Jordan,Gratitude,Exhaustion,Helplessness,Anxiety,Anxiety,agent
Jan found time to spend with her friends after being busy all month.,"Jan found time to spend with her friends after being busy all month, and they were all excited to catch up and make the most of their time together.",Jan,Joy,Discouragement,Surrender,Annoyance,Joy,agent
Jan found time to spend with her friends after being busy all month.,"Jan found time to spend with her friends after being busy all month, but her friends seemed distant and preoccupied, making the reunion less enjoyable than expected.",Jan,Joy,Discouragement,Surrender,Annoyance,Discouragement,agent
Jan ran out of fruit for her smoothie every morning. Jan went to the store to buy some fruit.,"Jan ran out of fruit for her smoothie every morning, and she went to the store to buy some fruit just before an important meeting.",Jan,Comfortableness,Annoyance,Concern,Anxiety,Anxiety,time
Jan ran out of fruit for her smoothie every morning. Jan went to the store to buy some fruit.,"Jan ran out of fruit for her smoothie every morning, and she went to the store to buy some fruit during a leisurely weekend morning.",Jan,Comfortableness,Annoyance,Concern,Anxiety,Comfortableness,time
Casey gets dressed because they will go out to eat.,Casey gets dressed because they will go out to eat with their close friends who have been eagerly planning this dinner for weeks.,Casey,Favor,Pensiveness,Anxiety,Anticipation,Anticipation,agent
Casey gets dressed because they will go out to eat.,"Casey gets dressed because they will go out to eat with a business partner, knowing that an important decision needs to be discussed and finalized during the meal.",Casey,Favor,Pensiveness,Anxiety,Anticipation,Anticipation,agent
